HTS_Number,Description,Country,Variable,Trade_Type,Category,Granularity,Value,Quantity_Description,Month,Year,Relevant_Date,Runtime
841330,"FUEL, LUBRICATING OR COOLING MEDIUM PUMPS FOR INTERNAL COMBUSTION PISTON ENGINES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
842489,"MECHANICAL APPLIANCES FOR PROJECTING, DISPERSING OR SPRAYING LIQUIDS OR POWDERS, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
842542,"JACKS AND HOISTS, HYDRAULIC, EXCEPT BUILT-IN JACKING SYSTEMS USED IN GARAGES",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
843149,"PARTS AND ATTACHMENTS, NESOI, FOR DERRICKS, CRANES, SELF-PROPELLED BULLDOZERS, GRADERS ETC. AND OTHER GRADING, SCRAPING, ETC. MACHINERY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,February,2019,2019-02-28,2026-06-26 10:18:17.294486
847130,"PORTABLE DIGTL AUTOMATIC DATA PROCESSING MACHINES, WEIGHT NOT MORE THAN 10 KG, CONSISTING OF AT LEAST A CENTRAL PROCESSING UNIT, KEYBOARD & A DISPLAY",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
847150,"DIGITAL PROCESSING UNITS OTHER THAN THOSE OF 8471.41 AND 8471.49, N.E.S.O.I.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
847170,"AUTOMATIC DATA PROCESSING STORAGE UNITS, N.E.S.O.I.",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
847190,"AUTOMATIC DATA PROCESSING UNTS THEREOF; MAGNETIC/OPTICAL READERS, MACH FOR TRANSCRIBING DATA TO DATA MEDIA IN CODED FORM & MACH FOR PROC DATA, NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
847330,"PARTS AND ACCESSORIES FOR AUTOMATIC DATA PROCESSING MACHINES AND UNITS THEREOF, MAGNETIC OR OPTICAL READERS, TRANSCRIBING MACHINES, ETC., NESOI",Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,no units collected,February,2019,2019-02-28,2026-06-26 10:18:17.294486
851712,TELEPHONES FOR CELLULAR NETWORKS OR FOR OTHER WIRELESS NETWORKS,Greenland,First Unit of Quantity,ForeignExp,Foreign,6,0,number,February,2019,2019-02-28,2026-06-26 10:18:17.294486
